city,city_key,date,timestamp,lat,lon,current_speed,free_flow_speed,confidence,congestion_level,traffic_index
Berlin,berlin,2023-01-01,2025-11-25 21:23:01.257953,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-01,2025-11-25 21:23:01.881576,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-01,2025-11-25 21:23:02.500129,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-01,2025-11-25 21:23:03.121825,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-01,2025-11-25 21:23:03.737656,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-02,2025-11-25 21:23:04.403178,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-02,2025-11-25 21:23:05.028861,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-02,2025-11-25 21:23:05.654670,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-02,2025-11-25 21:23:06.283593,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-02,2025-11-25 21:23:06.916170,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-03,2025-11-25 21:23:07.535070,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-03,2025-11-25 21:23:08.158419,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-03,2025-11-25 21:23:08.831369,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-03,2025-11-25 21:23:09.466565,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-03,2025-11-25 21:23:10.098106,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-04,2025-11-25 21:23:10.727334,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-04,2025-11-25 21:23:11.355690,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-04,2025-11-25 21:23:11.992418,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-04,2025-11-25 21:23:12.621674,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-04,2025-11-25 21:23:13.254029,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-05,2025-11-25 21:23:13.881059,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-05,2025-11-25 21:23:14.501701,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-05,2025-11-25 21:23:15.403968,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-05,2025-11-25 21:23:16.031927,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-05,2025-11-25 21:23:16.651428,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-06,2025-11-25 21:23:17.286439,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-06,2025-11-25 21:23:17.915740,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-06,2025-11-25 21:23:18.538314,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-06,2025-11-25 21:23:19.183826,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-06,2025-11-25 21:23:19.831585,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-07,2025-11-25 21:23:20.467450,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-07,2025-11-25 21:23:21.091385,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-07,2025-11-25 21:23:21.745401,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-07,2025-11-25 21:23:22.394702,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-07,2025-11-25 21:23:23.078250,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
Berlin,berlin,2023-01-08,2025-11-25 21:23:23.706243,52.52,13.405,20,20,1,0.0,0.0
Munich,munich,2023-01-08,2025-11-25 21:23:24.335782,48.1351,11.582,35,35,1,0.0,0.0
Hamburg,hamburg,2023-01-08,2025-11-25 21:23:24.961738,53.5511,10.0,29,41,1,0.29268292682926833,29.268292682926834
Cologne,cologne,2023-01-08,2025-11-25 21:23:25.596468,50.9375,6.9603,30,35,1,0.1428571428571429,14.28571428571429
Frankfurt am Main,frankfurt,2023-01-08,2025-11-25 21:23:26.228972,50.1109,8.6821,20,27,1,0.2592592592592593,25.92592592592593
