city,city_key,date,timestamp,lat,lon,current_speed,free_flow_speed,confidence,congestion_level,traffic_index,day_of_week,is_weekend,is_holiday,data_source
Berlin,berlin,2024-01-01,2024-01-01 12:00:00,52.52,13.405,51.2,54.5,0.95,0.1,10.0,0,False,True,synthetic
Berlin,berlin,2024-01-02,2024-01-02 12:00:00,52.52,13.405,39.2,53.7,0.95,0.449,44.88,1,False,False,synthetic
Berlin,berlin,2024-01-03,2024-01-03 12:00:00,52.52,13.405,31.7,54.1,0.95,0.692,69.18,2,False,False,synthetic
Berlin,berlin,2024-01-04,2024-01-04 12:00:00,52.52,13.405,37.1,54.3,0.95,0.527,52.7,3,False,False,synthetic
Berlin,berlin,2024-01-05,2024-01-05 12:00:00,52.52,13.405,41.9,58.0,0.95,0.464,46.44,4,False,False,synthetic
Berlin,berlin,2024-01-06,2024-01-06 12:00:00,52.52,13.405,55.2,58.7,0.95,0.1,10.0,5,True,True,synthetic
Berlin,berlin,2024-01-07,2024-01-07 12:00:00,52.52,13.405,49.1,55.2,0.95,0.183,18.33,6,True,False,synthetic
Berlin,berlin,2024-01-08,2024-01-08 12:00:00,52.52,13.405,36.3,51.6,0.95,0.494,49.44,0,False,False,synthetic
Berlin,berlin,2024-01-09,2024-01-09 12:00:00,52.52,13.405,33.4,52.2,0.95,0.601,60.14,1,False,False,synthetic
Berlin,berlin,2024-01-10,2024-01-10 12:00:00,52.52,13.405,38.5,55.6,0.95,0.512,51.24,2,False,False,synthetic
Berlin,berlin,2024-01-11,2024-01-11 12:00:00,52.52,13.405,45.2,59.3,0.95,0.398,39.75,3,False,False,synthetic
Berlin,berlin,2024-01-12,2024-01-12 12:00:00,52.52,13.405,34.0,53.7,0.95,0.613,61.27,4,False,False,synthetic
Berlin,berlin,2024-01-13,2024-01-13 12:00:00,52.52,13.405,39.4,53.1,0.95,0.431,43.07,5,True,False,synthetic
Berlin,berlin,2024-01-14,2024-01-14 12:00:00,52.52,13.405,43.7,57.4,0.95,0.4,39.97,6,True,False,synthetic
Berlin,berlin,2024-01-15,2024-01-15 12:00:00,52.52,13.405,37.5,53.2,0.95,0.492,49.16,0,False,False,synthetic
Berlin,berlin,2024-01-16,2024-01-16 12:00:00,52.52,13.405,35.2,50.7,0.95,0.51,50.96,1,False,False,synthetic
Berlin,berlin,2024-01-17,2024-01-17 12:00:00,52.52,13.405,39.0,53.7,0.95,0.454,45.39,2,False,False,synthetic
Berlin,berlin,2024-01-18,2024-01-18 12:00:00,52.52,13.405,39.5,54.9,0.95,0.467,46.73,3,False,False,synthetic
Berlin,berlin,2024-01-19,2024-01-19 12:00:00,52.52,13.405,39.6,59.5,0.95,0.558,55.77,4,False,False,synthetic
Berlin,berlin,2024-01-20,2024-01-20 12:00:00,52.52,13.405,34.8,51.1,0.95,0.53,53.04,5,True,False,synthetic
